nev	azon	fizA	fizB	megA	megB
Légrádi Zsuzsanna	2013E23-35	0	0	0	0
Hegedűs Edit	2010D22-17	12	7	10	0
Marosi Álmos	2015B21-22	11	8	6	8
Kovács Regő	2015N29-18	0	0	0	0
Pesti Éva	2011N31-11	12	7	2	1
Légrádi Zsófia	2017E38-34	19	0	8	0
Fischer Jolán	2013D24-18	0	0	0	0
Koós Emese	2011B22-11	0	0	0	0
Gémes Erika	2010C39-20	10	9	8	3
Gondos Hapci	2011D25-14	11	8	11	4
Lóránt Judit	2011D29-28	0	0	0	0
Koós András	2015C37-24	0	0	0	0
Gémes Erika	2016N10-23	6	13	4	8
Kiss Jenő	2012F22-18	19	0	19	0
Nagy Szilárd	2012C31-23	0	0	0	0
Asztalos Anna	2011B40-24	14	5	7	0
Illés Álmos	2016E39-18	0	0	0	0
Szűcs Tas	2015B37-12	11	8	1	0
Nagy Gergő	2015N16-32	19	0	14	0
Hegedűs Melinda	2017B28-25	19	0	7	0
Szűcs Frida	2017D25-16	15	4	9	4
Marosi Hapci	2015B11-30	0	0	0	0
Illés Melinda	2015N25-24	19	0	19	0
Mónosi Jenő	2017N31-10	12	7	4	5
Nógrádi Zsófia	2015A20-20	15	4	14	1
Nagy Annamária	2015D23-26	13	6	6	3
Kerekes Annamária	2015B26-11	19	0	16	0
Illés Tas	2016N10-15	14	5	1	3
Szabó Krisztina	2011E29-32	0	0	0	0
Somos Tas	2016B14-10	12	7	1	0
Marosi Krisztina	2017N39-27	14	5	8	4
Csobánki Judit	2014B27-10	0	0	0	0
Magyar Zsófia	2012B37-29	0	0	0	0
Pesti Anna	2013D36-19	19	0	3	0
Beke Szófia	2013N24-32	19	0	1	0
Fischer Zsolt	2014D34-32	10	9	3	6
Visegrádi Erika	2013N18-25	0	0	0	0
Szabó Zsófia	2015N29-29	0	0	0	0
Takács Tas	2013D16-15	0	0	0	0
Kelemen Lázár	2010A38-27	0	0	0	0
Visegrádi Elemér	2013N28-15	13	6	0	5
Baráth Jenő	2010F22-24	0	0	0	0
Csobánki Szófia	2012N17-29	19	0	3	0
Kelemen Hanna	2011D35-14	19	0	6	0
Asztalos Zsuzsanna	2013E40-18	0	0	0	0
Lóránt Frida	2017F28-22	0	0	0	0
Fischer Hanna	2017B29-14	0	0	0	0
Kiss Zsófia	2010E37-33	0	0	0	0
Légrádi Éva	2015N35-23	0	0	0	0
Hegyi Tamás	2017F13-16	0	0	0	0
Gémes Dóra	2012C25-14	16	3	7	0
Bajai Gergő	2016E29-17	0	0	0	0
Fischer Anna	2013A11-10	19	0	2	0
Benedek Júlia	2017D26-19	19	0	6	0
Marosi Judit	2012E20-23	10	9	0	8
Kelemen Vidor	2013C36-27	18	1	8	1
